name,description,iconUrl,total,rarity,xpReward,coinReward,criteria
Amigo Apoiador,Adicione seu primeiro amigo,badge-friend,,COMMON,40,0.0,"{""type"":""add_friend"",""target"":1}"
Checklist Concluído,Complete uma checklist inteira,badge-checklist,,COMMON,60,0.0,"{""type"":""checklist_complete"",""target"":1}"
Compartilhador,Compartilhe seu progresso nas redes,badge-share,,COMMON,30,0.0,"{""type"":""share_progress"",""target"":1}"
Convidou um Colega,Convide um colega e ele se registre,badge-invite,,COMMON,100,1.0,"{""type"":""invite_register"",""target"":1}"
Ironman,Complete 200 tarefas,badge-ironman,200,RARE,1200,15.0,"{""type"":""task_complete"",""target"":200}"
Madrugador,Complete 5 tarefas antes das 08:00,badge-early,5,COMMON,120,0.5,"{""type"":""task_time_range"",""target"":5,""from"":""05:00"",""to"":""07:59""}"
Maratona Mensal,Complete 100 Pomodoros em um mês,badge-month-marathon,100,RARE,800,5.0,"{""type"":""pomodoro_period"",""target"":100,""period"":""month""}"
Maratonista,Complete 10 Pomodoros em um dia,badge-marathon,10,RARE,200,1.0,"{""type"":""pomodoro"",""target"":10,""period"":""day""}"
Mestre da Produtividade,Complete 100 tarefas,badge-master-prod,100,RARE,1000,10.0,"{""type"":""task_complete"",""target"":100}"
Mestre das Moedas,Acumule 1000 moedas,badge-coins-master,,RARE,600,50.0,"{""type"":""coins_earned"",""target"":1000}"
Meta Semanal,Complete sua meta semanal,badge-week-goal,,COMMON,200,1.0,"{""type"":""weekly_goal_complete"",""target"":1}"
Nível 10,Alcançe o nível 10,badge-level-10,,RARE,300,5.0,"{""type"":""reach_level"",""target"":10}"
Noite Produtiva,Complete 5 tarefas após meia-noite,badge-night,5,COMMON,120,0.5,"{""type"":""task_time_range"",""target"":5,""from"":""00:00"",""to"":""05:59""}"
Primeira Vitória,Complete sua primeira tarefa,badge-first,,COMMON,50,0.0,"{""type"":""task_complete"",""target"":1}"
Primeiro Pomodoro,Complete seu primeiro Pomodoro,badge-pomo-first,,COMMON,30,0.0,"{""type"":""pomodoro"",""target"":1}"
Rotina Ativada,Crie sua primeira rotina,badge-routine,,COMMON,80,0.0,"{""type"":""create_routine"",""target"":1}"
Sem Distrações,Complete um Pomodoro com bloqueador ativo,badge-blocked-pomo,,COMMON,70,0.2,"{""type"":""pomodoro_blocked"",""target"":1}"
Sequência de Fogo,Mantenha 7 dias de sequência,badge-streak-7,7,RARE,150,0.5,"{""type"":""streak"",""target"":7,""consecutive"":true}"
Sequência Lenda,Mantenha 30 dias de sequência,badge-streak-30,30,RARE,500,3.0,"{""type"":""streak"",""target"":30,""consecutive"":true}"
Ultra Foco,Complete 25 Pomodoros no total,badge-ultra,25,RARE,500,2.0,"{""type"":""pomodoro_total"",""target"":25}"